"fecha","puesto","puntos","nombre","id","club","federacion"
"2024-02-12 09:03:33.212309","1","4895.0","GÓMEZ MORALES, NADIA","6002211","E.K.COMILLAS","CNT"
"2024-02-12 09:03:33.212796","2","3102.5","MORALES OZUNA, GEMA","15001573","KARATE CIUDAD DE ROMA","MAD"
"2024-02-12 09:03:33.213184","3","1647.5","PINILLA, ALBA","19003619","GIMNASIO FITNESS GASTEIZ","PVS"
"2024-02-12 09:03:33.213588","4","767.5","VERDES LINDEZ, SOFIA","1003785","C.D. NO-KACHI","AND"
"2024-02-12 09:03:33.213953","5","525.0","VIZUETE OLIVENZA, MIREIA","19005755","GIMNASIO FITNESS GASTEIZ","PVS"
"2024-02-12 09:03:33.214302","6","467.5","BENTAMA-SERROUKH JEBARI, INSAF","4007899","KENKYO","VAL"
"2024-02-12 09:03:33.214678","7","227.5","PESO PALOMARES, PATRICIA","4002497","CLUB DEPORTIVO KYODAI","VAL"
"2024-02-12 09:03:33.215027","8","175.0","RODRÍGUEZ LOREDO, EVA","12002922","SAN FRANCISCO TEO","GAL"
"2024-02-12 09:03:33.215392","8","175.0","EGUILUZ VIGNIOLY, RAQUEL ADRIANA","6005011","BUDOCLUB PARADISO","CNT"
"2024-02-12 09:03:33.215765","10","160.0","DAVALILLO RIVAS, KEYSIL PAOLA","13013296","TOT ESPORT CALVIA","BAL"
"2024-02-12 09:03:33.216121","11","152.5","ROSSO GONÇALVES, SARAY","18004940","CLUB FEDERACIÓN NAVARRA DE KARATE","NAV"
"2024-02-12 09:03:33.216499","12","137.5","CORDERO SUAREZ, LARA","5008229","CLUB DEPORTIVO KINAMIC KARATE","CNR"
"2024-02-12 09:03:33.216870","12","137.5","HERRERO VALCARCE, LUCÍA","12005111","KÁRATE RIVER STONE","GAL"
"2024-02-12 09:03:33.217226","14","132.5","NICOLAE, DANIELA MELANIA","2005379","CLUB FEDERACIÓN ARAGONESA DE KARATE","ARG"
"2024-02-12 09:03:33.217624","15","112.5","ROQUE CALDERÓN, NEREA","13005528","LARA ESCUELA DE ARTES MARCIALES","BAL"
"2024-02-12 09:03:33.217996","16","67.5","SANCHEZ VAZQUEZ, NATALIA","3004092","ARENAS KARATE","AST"
"2024-02-12 09:03:33.218357","17","55.0","MONASTERIO SAMPERIO, MARTINA","6005292","CLUB KIME","CNT"
"2024-02-12 09:03:33.218761","18","52.5","MUÑOZ COLL, CARLOTA","13003767","TOT ESPORT CALVIA","BAL"
"2024-02-12 09:03:33.219126","19","50.0","OTERO CORUJO, PAULA","3004943","REAL GRUPO DE CULTURA COVADONGA","AST"
"2024-02-12 09:03:33.219493","20","47.5","REY DE VIÑAS REDONDO, ALBA","4008392","C.D. KAZOKUSPORT","VAL"
"2024-02-12 09:03:33.219851","21","42.5","YÁNEZ RODRÍGUEZ, CARLA","5008390","CLUB DE KARATE HERMANOS ALEMAN","CNR"
"2024-02-12 09:03:33.220319","22","40.0","GARCÍA BAZ, LEIRE","19005761","SANTA TERESA","PVS"
"2024-02-12 09:03:33.220679","23","37.5","MARTIN RUIZ, NEREA","9005403","CLUB ESPORTIU MEDITERRANI","CAT"
"2024-02-12 09:03:33.220986","23","37.5","GARCIA ROMERO, EMMA","15008920","SEIKEN-DO","MAD"
"2024-02-12 09:03:33.221294","23","37.5","GRANADO ALVAREZ, VIRGINIA","8002015","FUJISAN - PALENCIA","CAL"
"2024-02-12 09:03:33.221658","26","25.0","MARTINEZ SUAREZ, SONIA","8005209","C.D. BUDOKAN VALLADOLID","CAL"
"2024-02-12 09:03:33.222090","27","22.5","GÓMEZ MORALES, LUCÍA","6005274","KARATE ABDO","CNT"
"2024-02-12 09:03:33.222472","27","22.5","CORDERO SANCHEZ, IRENE","3006081","ARENAS KARATE","AST"
"2024-02-12 09:03:33.222792","29","20.0","CASADO SUAREZ, CAROLINA","3007042","KARATE CORVERA","AST"
"2024-02-12 09:03:33.223094","30","17.5","ALVENTOSA MARTIN, EMMA","9005165","KARATE MUSOKEN","CAT"
"2024-02-12 09:03:33.223409","31","12.5","HORCAJUELO PIZARRO, VERONICA","15300004","KARATE ANTONIO MACHADO","MAD"
"2024-02-12 09:03:33.223730","31","12.5","LOPEZ LORES, NADIA","14003730","CLUB FEDERACIÓN RIOJANA DE KARATE","RIO"
"2024-02-12 09:03:33.224049","31","12.5","MARQUEZ LOPEZ, AITANA","1005412","C.D. KARATE FUENGIROLA","AND"
"2024-02-12 09:03:33.224350","31","12.5","DEL RIO MARTINEZ, ISABEL","15007191","C.D.GO-PAI SPORT","MAD"
"2024-02-12 09:03:33.224731","31","12.5","ROSILLO BENITEZ, SONIA","1006162","C.D. BUDOKAN RONDA","AND"
"2024-02-12 09:03:33.225081","31","12.5","LASA ECHEVERRIA, ITZIAR","18002617","CLUB ESCUELA DEPORTIVA DE HUARTE","NAV"
"2024-02-12 09:03:33.225441","37","5.0","HERNANDEZ SANCHEZ-MIGALLON, NOELIA","15001668","TOKYO","MAD"
"2024-02-12 09:03:33.225802","37","5.0","SANZ AGUILAR, PAULA","4007750","CLUB J.VIDAL","VAL"
"2024-02-12 09:03:33.330350","1","4897.5","SECK SAKHO, BABACAR","14002179","SANKUKAI","RIO"
"2024-02-12 09:03:33.330760","2","1637.5","MARTÍNEZ VELILLA, MARCOS","2002381","SOCIEDAD DEPORTIVA SHURIYAMA","ARG"
"2024-02-12 09:03:33.331086","3","882.5","ECHEVARRIA LAVIN, MANUEL","6001432","ESCUELA DE KARATE COLINDRES","CNT"
"2024-02-12 09:03:33.331421","4","587.5","AZIZI, ACHRAF","17010445","KARATE NINTAI","MUR"
"2024-02-12 09:03:33.331746","5","560.0","MARCOS DE LA IGLESIA, SAMUEL","8005859","C.D. BUDOKAN VALLADOLID","CAL"
"2024-02-12 09:03:33.332046","6","467.5","RUIZ DELGADO, ROBERTO","1003795","C.D. NO-KACHI","AND"
"2024-02-12 09:03:33.332339","7","292.5","HERNANDEZ FERMIN, RODRIGO","7003872","KIDOKAN","CLM"
"2024-02-12 09:03:33.332677","7","292.5","GONZALEZ LOZANO, RUBEN","15021504","IVAN LEAL","MAD"
"2024-02-12 09:03:33.332972","9","265.0","RAMOS ARRIBAS, DAVID","3003811","CLUB KARATE WASEDA","AST"
"2024-02-12 09:03:33.334143","10","220.0","CACERES DE TORRES, PEDRO","15001869","TSUKURI","MAD"
"2024-02-12 09:03:33.334598","11","175.0","DEL BARRIO RAMOS, PABLO","6005113","GONZALEZ MACHIN","CNT"
"2024-02-12 09:03:33.335068","12","165.0","RODRIGUEZ MESA, ADRIAN MANUEL","5007887","CLUB DE KARATE HERMANOS ALEMAN","CNR"
"2024-02-12 09:03:33.335436","12","165.0","PLAZA PEÑA, JAVIER","5008380","SUHARI-LANZAROTE","CNR"
"2024-02-12 09:03:33.335754","14","155.0","BLANCO GRANÉS, SERAFÍN","9005422","CLUB NATACIO BARCELONA","CAT"
"2024-02-12 09:03:33.336077","15","150.0","TSYBULSKYY YATSYUK, NICOLAS","15003495","FRANCISCO MAYORAL","MAD"
"2024-02-12 09:03:33.336538","15","150.0","VAZ MUÑOZ, JUAN MANUEL","15001472","KARATE ANTONIO MACHADO","MAD"
"2024-02-12 09:03:33.336846","17","125.0","RENOVELL CODESIDO, SERGIO","4007786","CLUB KARATE PATERNA","VAL"
"2024-02-12 09:03:33.337160","18","112.5","OÑA TUDELA, JAVIER","4003720","CLUB KARATE MANISES","VAL"
"2024-02-12 09:03:33.337582","19","95.0","BORRÁS ALBERTÍ, PAU","13005234","MOTA","BAL"
"2024-02-12 09:03:33.337889","20","90.0","MODU VILLAR, AGUSTIN EKOKA","4008362","C.D. KAZOKUSPORT","VAL"
"2024-02-12 09:03:33.338203","21","77.5","QUIVÉN LÓPEZ, JORGE","4007817","KARATE CLUB SAN VICENTE","VAL"
